"Qty";"Value";"Device";"Package";"Parts";"Description";"DESIGNER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VERSION";
"1";"";"2N7002_SOT23";"SOT-23";"Q1";"2N7000, 2N7002, NDS7002A";"";"";"";"";"";"";"";
"1";"";"M04LOCK_LONGPADS";"1X04_LOCK_LONGPADS";"J4";"Header 4";"";"";"";"";"";"CONN-09696";"";
"1";".1uF";"CAP0805";"0805";"C1";"Capacitor";"";"";"";"";"";"";"";
"2";"100";"RESISTOR0805-RES";"0805";"R2, R5";"Resistor";"";"";"";"";"";"";"";
"4";"100n";"CAP0805";"0805";"C2, C3, C4, C5";"Capacitor";"";"";"";"";"";"";"";
"1";"10k";"RESISTOR0805-RES";"0805";"R3";"Resistor";"";"";"";"";"";"";"";
"5";"1k";"RESISTOR0805-RES";"0805";"R4, R6, R7, R10, R11";"Resistor";"";"";"";"";"";"";"";
"1";"1u";"CAP0805";"0805";"C6";"Capacitor";"";"";"";"";"";"";"";
"2";"33";"RESISTOR0805-RES";"0805";"R8, R9";"Resistor";"";"";"";"";"";"";"";
"1";"49";"RESISTOR0805-RES";"0805";"R1";"Resistor";"";"";"";"";"";"";"";
"1";"CLK1";"SMA-NOSILK";"J502-ND-142-0711-821/826-NOSILK";"X1";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"";"";"";"";"";"";"";
"1";"CLK2";"SMA-NOSILK";"J502-ND-142-0711-821/826-NOSILK";"X2";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"";"";"";"";"";"";"";
"1";"CLK3";"M03LOCK_LONGPADS";"1X03_LOCK_LONGPADS";"J5";"Header 3";"";"";"";"";"";"";"";
"1";"CWTIO-20PIN";"CWTIO-20PIN";"PINSHRD_PTH_2X10";"J1";"";"";"";"";"";"";"";"";
"1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1";"Schematic Frame";"Nobody";"";"";"";"";"";"v01";
"1";"MAX3421ESMD";"MAX3421ESMD";"TQFP32-5MM-MILLABLE";"U1";"USB Peripheral/Host Controller w/ SPI";"";"";"";"";"";"";"";
"4";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";
"1";"NC7WZ14";"NC7WZ14";"SC70-6-MILLABLE";"U2";"UHS Dual Inverter with Schmitt Trigger";"";"";"";"";"";"";"";
"1";"PA5";"LEDSMT1206";"1206";"LED4";"LED";"";"";"";"";"";"";"";
"1";"PA6";"LEDSMT1206";"1206";"LED5";"LED";"";"";"";"";"";"";"";
"1";"PTC 2A";"PTCSMD-W";"PTC-1206-WIDE";"F1";"Resettable Fuse PTC";"";"";"";"";"";"";"";
"1";"Power";"LEDSMT1206";"1206";"LED1";"LED";"";"";"";"";"";"";"";
"1";"RESET";"M03LOCK_LONGPADS";"1X03_LOCK_LONGPADS";"J6";"Header 3";"";"";"";"";"";"";"";
"1";"Reset";"LEDSMT1206";"1206";"LED2";"LED";"";"";"";"";"";"";"";
"1";"SYNCIN";"M03LOCK_LONGPADS";"1X03_LOCK_LONGPADS";"J7";"Header 3";"";"";"";"";"";"";"";
"1";"USB-A-H";"USB-A-H";"USB-A-H";"J3";"USB Connectors";"";"";"";"";"";"";"";
"1";"VBUS";"LEDSMT1206";"1206";"LED3";"LED";"";"";"";"";"";"";"";
"1";"VUSB IN";"POWER_JACKPTH";"POWER_JACK_PTH";"J2";"Power Jack";"";"";"";"";"";"CONN-08197";"";
"1";"XMEGA128D4";"XMEGA16A4A";"TQFP44";"IC1";"MICROCONTROLLER";"";"";"";"unknown";"unknown";"";"";
